Point_Count,System_Time_Unix
20256,1765435743.739020000
19968,1765435743.813110000
20064,1765435743.977830000
19968,1765435744.209600000
20064,1765435744.373010000
19968,1765435744.568140000
19968,1765435744.686140000
19968,1765435744.830050000
20064,1765435745.026420000
19968,1765435745.253570000
19968,1765435745.489070000
20064,1765435745.713960000
19968,1765435745.837410000
20064,1765435746.057300000
19872,1765435746.185500000
20064,1765435746.410000000
19872,1765435746.536080000
19968,1765435746.731740000
20064,1765435746.868370000
19968,1765435747.753650000
19968,1765435747.765120000
19968,1765435747.835970000
19968,1765435747.854980000
19968,1765435747.864540000
20064,1765435747.959620000
20064,1765435748.123250000
19968,1765435748.294540000
19392,1765435748.539180000
20064,1765435748.671370000
20064,1765435748.894310000
19968,1765435749.109920000
20064,1765435749.325300000
19968,1765435749.532940000
20064,1765435749.744910000
20064,1765435749.965720000
19968,1765435750.253300000
20064,1765435750.394510000
19872,1765435750.611870000
20064,1765435750.751080000
20064,1765435750.881150000
19968,1765435751.095220000
19968,1765435751.297370000
19968,1765435751.431400000
20064,1765435751.661140000
20160,1765435751.799800000
19872,1765435752.578330000
19968,1765435752.606140000
19968,1765435752.617340000
19968,1765435752.627340000
19968,1765435752.706740000
19968,1765435752.996650000
20064,1765435753.118290000
19968,1765435753.522900000
20064,1765435753.533370000
19968,1765435753.662810000
19968,1765435753.792310000
19968,1765435753.919920000
19968,1765435754.112540000
19968,1765435754.229140000
19968,1765435754.438940000
19872,1765435754.941350000
21024,1765435754.953530000
19968,1765435754.964720000
20064,1765435755.066470000
19968,1765435756.823190000
19968,1765435756.845810000
20064,1765435756.856520000
20064,1765435756.880550000
19968,1765435756.892570000
20064,1765435756.905250000
19968,1765435756.915330000
19968,1765435757.726910000
19968,1765435757.739750000
19968,1765435757.758480000
19968,1765435757.975390000
19968,1765435758.001100000
19968,1765435758.012350000
19968,1765435758.192890000
19968,1765435758.426990000
19968,1765435758.516270000
19968,1765435758.648460000
19968,1765435758.785300000
19968,1765435758.975780000
20064,1765435759.119550000
19872,1765435759.227050000
19968,1765435759.342410000
19968,1765435760.341640000
20064,1765435760.360450000
20064,1765435760.371560000
19968,1765435760.381580000
20064,1765435760.402980000
19968,1765435760.696190000
19968,1765435760.836790000
19968,1765435760.947140000
