Point_Count,System_Time_Unix
20256,1765435743.723260000
19968,1765435743.801870000
20064,1765435743.968620000
19968,1765435744.203310000
20064,1765435744.352350000
19968,1765435744.560570000
19968,1765435744.682170000
19968,1765435744.818860000
20064,1765435745.019810000
19968,1765435745.249400000
19968,1765435745.479280000
20064,1765435745.707710000
19968,1765435745.831320000
20064,1765435746.039790000
19872,1765435746.179430000
20064,1765435746.400980000
19872,1765435746.526380000
19968,1765435746.727200000
20064,1765435746.862190000
19968,1765435747.736800000
19968,1765435747.754660000
19968,1765435747.831430000
19968,1765435747.836970000
19968,1765435747.852000000
20064,1765435747.953450000
20064,1765435748.092460000
19968,1765435748.284090000
19392,1765435748.532080000
20064,1765435748.666830000
20064,1765435748.886890000
19968,1765435749.101190000
20064,1765435749.318660000
19968,1765435749.526720000
20064,1765435749.737790000
20064,1765435749.953760000
19968,1765435750.244580000
20064,1765435750.378030000
19872,1765435750.601240000
20064,1765435750.739510000
20064,1765435750.871460000
19968,1765435751.088650000
19968,1765435751.285360000
19968,1765435751.421900000
20064,1765435751.649560000
20160,1765435751.791350000
19872,1765435752.559410000
19968,1765435752.563970000
19968,1765435752.599610000
19968,1765435752.605140000
19968,1765435752.691760000
19968,1765435752.992020000
20064,1765435753.105390000
19968,1765435753.513860000
20064,1765435753.519930000
19968,1765435753.656860000
19968,1765435753.780750000
19968,1765435753.905680000
19968,1765435754.104500000
19968,1765435754.221140000
19968,1765435754.434130000
19872,1765435754.921120000
21024,1765435754.939840000
19968,1765435754.943910000
20064,1765435755.054170000
19968,1765435756.813050000
19968,1765435756.818110000
20064,1765435756.824220000
20064,1765435756.842170000
19968,1765435756.847330000
20064,1765435756.853380000
19968,1765435756.858500000
19968,1765435757.714660000
19968,1765435757.722280000
19968,1765435757.726910000
19968,1765435757.968220000
19968,1765435757.973850000
19968,1765435757.982010000
19968,1765435758.189320000
19968,1765435758.407730000
19968,1765435758.512210000
19968,1765435758.639760000
19968,1765435758.780190000
19968,1765435758.971310000
20064,1765435759.102700000
19872,1765435759.219970000
19968,1765435759.335060000
19968,1765435760.333210000
20064,1765435760.340640000
20064,1765435760.356380000
19968,1765435760.361950000
20064,1765435760.365970000
19968,1765435760.692620000
19968,1765435760.823390000
19968,1765435760.941550000
19968,1765435761.459600000
20064,1765435761.464750000
20160,1765435761.479880000
20064,1765435761.579790000
19968,1765435763.005380000
20064,1765435763.023480000
19968,1765435763.029040000
19968,1765435763.108360000
20064,1765435763.125660000
19680,1765435763.131720000
19968,1765435763.136780000
19968,1765435763.319630000
19968,1765435764.336670000
20064,1765435764.343190000
19968,1765435764.752950000
20064,1765435764.759590000
19968,1765435765.018820000
20064,1765435765.026820000
19968,1765435766.254850000
20064,1765435766.273270000
20064,1765435766.280380000
19872,1765435766.285270000
19968,1765435766.289750000
19968,1765435766.298780000
20064,1765435766.312160000
19968,1765435766.534970000
19968,1765435767.183720000
20064,1765435767.189920000
20064,1765435767.754130000
19968,1765435767.760480000
19968,1765435767.765880000
19968,1765435767.783400000
19968,1765435768.041800000
19968,1765435768.928280000
