Frame 1: Points: 20256 | Time: 1763886728211114563 ns
Frame 2: Points: 19968 | Time: 1763886728312000195 ns
Frame 3: Points: 20064 | Time: 1763886728412147815 ns
Frame 4: Points: 19968 | Time: 1763886728512730950 ns
Frame 5: Points: 19968 | Time: 1763886728612047391 ns
Frame 6: Points: 20064 | Time: 1763886728712018882 ns
Frame 7: Points: 19968 | Time: 1763886728812710664 ns
Frame 8: Points: 19968 | Time: 1763886728912043827 ns
Frame 9: Points: 19968 | Time: 1763886729012082059 ns
Frame 10: Points: 19968 | Time: 1763886729111930995 ns
Frame 11: Points: 20064 | Time: 1763886729212139077 ns
Frame 12: Points: 19968 | Time: 1763886729311850460 ns
Frame 13: Points: 20064 | Time: 1763886729411945006 ns
Frame 14: Points: 19872 | Time: 1763886729512116495 ns
Frame 15: Points: 20064 | Time: 1763886729611941969 ns
Frame 16: Points: 19968 | Time: 1763886729712749584 ns
Frame 17: Points: 19968 | Time: 1763886731111970244 ns
Frame 18: Points: 20064 | Time: 1763886731311999967 ns
Frame 19: Points: 19968 | Time: 1763886731512069041 ns
Frame 20: Points: 19968 | Time: 1763886731611987700 ns
Frame 21: Points: 20064 | Time: 1763886731711966172 ns
Frame 22: Points: 20064 | Time: 1763886731811999552 ns
Frame 23: Points: 19968 | Time: 1763886731912145802 ns
Frame 24: Points: 19872 | Time: 1763886732112834575 ns
Frame 25: Points: 20064 | Time: 1763886732311388698 ns
Frame 26: Points: 20064 | Time: 1763886732512023639 ns
Frame 27: Points: 19872 | Time: 1763886732711987603 ns
Frame 28: Points: 19872 | Time: 1763886732912892967 ns
Frame 29: Points: 19584 | Time: 1763886733011814967 ns
Frame 30: Points: 19968 | Time: 1763886733212123873 ns
Frame 31: Points: 20064 | Time: 1763886733312219715 ns
Frame 32: Points: 19872 | Time: 1763886733411988523 ns
Frame 33: Points: 20064 | Time: 1763886733511942162 ns
Frame 34: Points: 20064 | Time: 1763886733711986552 ns
Frame 35: Points: 19968 | Time: 1763886733812094968 ns
Frame 36: Points: 19968 | Time: 1763886733912027497 ns
Frame 37: Points: 20064 | Time: 1763886734212242265 ns
Frame 38: Points: 19968 | Time: 1763886734312119665 ns
Frame 39: Points: 20064 | Time: 1763886734512013704 ns
Frame 40: Points: 19968 | Time: 1763886734712100075 ns
Frame 41: Points: 19968 | Time: 1763886734812060177 ns
Frame 42: Points: 20064 | Time: 1763886735012044993 ns
Frame 43: Points: 19968 | Time: 1763886735212327640 ns
Frame 44: Points: 20064 | Time: 1763886735312025856 ns
Frame 45: Points: 19008 | Time: 1763886735412767879 ns
Frame 46: Points: 20064 | Time: 1763886735611995682 ns
Frame 47: Points: 19968 | Time: 1763886735812030016 ns
Frame 48: Points: 20064 | Time: 1763886735911972323 ns
Frame 49: Points: 19968 | Time: 1763886736012144850 ns
Frame 50: Points: 20736 | Time: 1763886736211152729 ns
Frame 51: Points: 19968 | Time: 1763886736312138101 ns
Frame 52: Points: 20064 | Time: 1763886736611973373 ns
Frame 53: Points: 19872 | Time: 1763886736712032679 ns
Frame 54: Points: 19968 | Time: 1763886736912759470 ns
Frame 55: Points: 19968 | Time: 1763886737012267151 ns
Frame 56: Points: 20064 | Time: 1763886737212001561 ns
Frame 57: Points: 19968 | Time: 1763886737312364328 ns
Frame 58: Points: 19680 | Time: 1763886737412014914 ns
Frame 59: Points: 20352 | Time: 1763886737511794815 ns
Frame 60: Points: 20064 | Time: 1763886737711978759 ns
Frame 61: Points: 19968 | Time: 1763886737912080555 ns
Frame 62: Points: 20064 | Time: 1763886738011995270 ns
Frame 63: Points: 20064 | Time: 1763886738312049151 ns
Frame 64: Points: 19968 | Time: 1763886738412173215 ns
Frame 65: Points: 19968 | Time: 1763886738612102087 ns
Frame 66: Points: 20064 | Time: 1763886738711968117 ns
Frame 67: Points: 19968 | Time: 1763886738911935785 ns
Frame 68: Points: 19200 | Time: 1763886739012088442 ns
Frame 69: Points: 17760 | Time: 1763886739212022166 ns
Frame 70: Points: 20256 | Time: 1763886739411490115 ns
Frame 71: Points: 19968 | Time: 1763886739511899437 ns
Frame 72: Points: 20064 | Time: 1763886739812104428 ns
Frame 73: Points: 19872 | Time: 1763886739912837988 ns
Frame 74: Points: 19968 | Time: 1763886740112175865 ns
Frame 75: Points: 19776 | Time: 1763886740212091931 ns
Frame 76: Points: 20064 | Time: 1763886740412024988 ns
Frame 77: Points: 19968 | Time: 1763886740612778576 ns
Frame 78: Points: 19872 | Time: 1763886740812150267 ns
Frame 79: Points: 19968 | Time: 1763886740912221518 ns
Frame 80: Points: 19968 | Time: 1763886741112107705 ns
Frame 81: Points: 19968 | Time: 1763886741212014660 ns
Frame 82: Points: 20064 | Time: 1763886741412071365 ns
Frame 83: Points: 19968 | Time: 1763886741512201522 ns
Frame 84: Points: 19968 | Time: 1763886741712097042 ns
Frame 85: Points: 19968 | Time: 1763886741812035775 ns
Frame 86: Points: 19968 | Time: 1763886742012190275 ns
Frame 87: Points: 19968 | Time: 1763886742112132841 ns
Frame 88: Points: 19968 | Time: 1763886742212072370 ns
Frame 89: Points: 20064 | Time: 1763886742412091501 ns
Frame 90: Points: 19968 | Time: 1763886742612174761 ns
Frame 91: Points: 19968 | Time: 1763886742712101512 ns
Frame 92: Points: 19776 | Time: 1763886742812129170 ns
Frame 93: Points: 19968 | Time: 1763886743012120597 ns
Frame 94: Points: 19872 | Time: 1763886743112005942 ns
Frame 95: Points: 20064 | Time: 1763886743312025184 ns
Frame 96: Points: 19968 | Time: 1763886743512070185 ns
